Grid:  [-1. -1.], loss_value: 2.1718
Grid:  [-0.9 -1. ], loss_value: 2.1491
Grid:  [-0.8 -1. ], loss_value: 2.1231
Grid:  [-0.7 -1. ], loss_value: 2.0879
Grid:  [-0.6 -1. ], loss_value: 2.0564
Grid:  [-0.5 -1. ], loss_value: 2.0192
Grid:  [-0.4 -1. ], loss_value: 1.9703
Grid:  [-0.3 -1. ], loss_value: 1.9005
Grid:  [-0.2 -1. ], loss_value: 1.8472
Grid:  [-0.1 -1. ], loss_value: 1.8120
Grid:  [ 0. -1.], loss_value: 1.7959
Grid:  [ 0.1 -1. ], loss_value: 1.7942
Grid:  [ 0.2 -1. ], loss_value: 1.8197
Grid:  [ 0.3 -1. ], loss_value: 1.8818
Grid:  [ 0.4 -1. ], loss_value: 1.9417
Grid:  [ 0.5 -1. ], loss_value: 1.9998
Grid:  [ 0.6 -1. ], loss_value: 2.0443
Grid:  [ 0.7 -1. ], loss_value: 2.0882
Grid:  [ 0.8 -1. ], loss_value: 2.1237
Grid:  [ 0.9 -1. ], loss_value: 2.1355
Grid:  [ 1. -1.], loss_value: 2.1316
Grid:  [-1.  -0.9], loss_value: 2.1493
Grid:  [-0.9 -0.9], loss_value: 2.1336
Grid:  [-0.8 -0.9], loss_value: 2.1089
Grid:  [-0.7 -0.9], loss_value: 2.0734
Grid:  [-0.6 -0.9], loss_value: 2.0154
Grid:  [-0.5 -0.9], loss_value: 1.9430
Grid:  [-0.4 -0.9], loss_value: 1.8533
Grid:  [-0.3 -0.9], loss_value: 1.7605
Grid:  [-0.2 -0.9], loss_value: 1.6830
Grid:  [-0.1 -0.9], loss_value: 1.6305
Grid:  [ 0.  -0.9], loss_value: 1.6167
Grid:  [ 0.1 -0.9], loss_value: 1.6279
Grid:  [ 0.2 -0.9], loss_value: 1.6498
Grid:  [ 0.3 -0.9], loss_value: 1.7034
Grid:  [ 0.4 -0.9], loss_value: 1.7813
Grid:  [ 0.5 -0.9], loss_value: 1.8769
Grid:  [ 0.6 -0.9], loss_value: 1.9659
Grid:  [ 0.7 -0.9], loss_value: 2.0362
Grid:  [ 0.8 -0.9], loss_value: 2.0918
Grid:  [ 0.9 -0.9], loss_value: 2.1150
Grid:  [ 1.  -0.9], loss_value: 2.1157
Grid:  [-1.  -0.8], loss_value: 2.1219
Grid:  [-0.9 -0.8], loss_value: 2.0914
Grid:  [-0.8 -0.8], loss_value: 2.0620
Grid:  [-0.7 -0.8], loss_value: 2.0058
Grid:  [-0.6 -0.8], loss_value: 1.9187
Grid:  [-0.5 -0.8], loss_value: 1.8031
Grid:  [-0.4 -0.8], loss_value: 1.6865
Grid:  [-0.3 -0.8], loss_value: 1.5827
Grid:  [-0.2 -0.8], loss_value: 1.4900
Grid:  [-0.1 -0.8], loss_value: 1.4254
Grid:  [ 0.  -0.8], loss_value: 1.4188
Grid:  [ 0.1 -0.8], loss_value: 1.4501
Grid:  [ 0.2 -0.8], loss_value: 1.4896
Grid:  [ 0.3 -0.8], loss_value: 1.5336
Grid:  [ 0.4 -0.8], loss_value: 1.6056
Grid:  [ 0.5 -0.8], loss_value: 1.7095
Grid:  [ 0.6 -0.8], loss_value: 1.8359
Grid:  [ 0.7 -0.8], loss_value: 1.9540
Grid:  [ 0.8 -0.8], loss_value: 2.0532
Grid:  [ 0.9 -0.8], loss_value: 2.1155
Grid:  [ 1.  -0.8], loss_value: 2.1243
Grid:  [-1.  -0.7], loss_value: 2.0746
Grid:  [-0.9 -0.7], loss_value: 2.0316
Grid:  [-0.8 -0.7], loss_value: 1.9768
Grid:  [-0.7 -0.7], loss_value: 1.8874
Grid:  [-0.6 -0.7], loss_value: 1.7606
Grid:  [-0.5 -0.7], loss_value: 1.6287
Grid:  [-0.4 -0.7], loss_value: 1.5097
Grid:  [-0.3 -0.7], loss_value: 1.3920
Grid:  [-0.2 -0.7], loss_value: 1.2906
Grid:  [-0.1 -0.7], loss_value: 1.2228
Grid:  [ 0.  -0.7], loss_value: 1.2131
Grid:  [ 0.1 -0.7], loss_value: 1.2582
Grid:  [ 0.2 -0.7], loss_value: 1.3113
